,id,created_at,text,fav,RT,rate
297,9.89028874771198E+017,2018-04-25 06:30:33,【定期】PythonとJavaScriptで、似ているAV女優を教えてくれる人工知能アプリケーションが創れる、「変態博士チュートリアル」で、顔認識アプリを作りませんか？https://t.co/rl1LQk8YRZ,31,8,25.8064516129032
853,9.8062954077814E+017,2018-04-02 02:14:36,あとでじっくり読もう。面白い。 https://t.co/87WozSQ9Z9,54,14,25.9259259259259
913,9.79915263687602E+017,2018-03-31 02:56:19,僕は今こういう病気にかかっています。助けてください。 https://t.co/JlP1ryuVf7,69,18,26.0869565217391
417,9.87669943729644E+017,2018-04-21 12:30:39,サラリーマンやりながら技術チュートリアルシコシコ書いて、2カ月でnoteの売り上げ50万円超えて学んだことは・サラリーマンで評価上げて年収上げるよりも、自分でコンテンツ作って売ったほうが確実に簡単・寝ててもお金入るので労働と… https://t.co/z0p93y3xSO,57,15,26.3157894736842
567,9.85001539277177E+017,2018-04-14 03:47:22,初心者こそ、おそれずにツイッターでアウトプットすべきだと思います。・情報を発信していると、フォロワーが増える・フォロワーが増えると親切な人が助けてくれる・親切な人とのリアルな出会いが、仕事につながる（案件をもらったり）・詳しい人から情報が集まる,57,15,26.3157894736842
262,9.89276956851032E+017,2018-04-25 22:56:21,プログラミングって寿命を延ばす薬だと思うんだよなぁ。今までルーティンで死んでいた時間を排除して、生きている感覚を得られるような時間をプログラミングで得られるなら。そしてその寿命を延ばせる領域は、エンジニアリング意外の仕事が大きそう。例えば保育とか。,99,27,27.2727272727273
313,9.88815476229751E+017,2018-04-24 16:22:35,まだ全然できていませんが、めっちゃくちゃ需要がありそうなので、文字起こし君のチュートリアル作ることにしました。まだ完成したソースコードのっけただけですが、これからどんどん書き足していきます。最初は1980円で販売しますが、購入者が… https://t.co/Ot0sPUSKUV,886,243,27.4266365688488
194,9.90057384549601E+017,2018-04-28 02:37:29,Progateが環境構築チュートリアルをリリース。これは創れる人を創り出すうえで本当に大事だなぁ。積極的に自分のチュートリアルにも載せていこう。https://t.co/tTa6R4ZCOV,47,13,27.6595744680851
971,9.78775194104819E+017,2018-03-27 23:26:05,"おかげさまでスケベチュートリアル、4日で100冊超えました！(¥103,880 / ¥980 = 106冊) ありがとうございました！修正必要そうなところとか、フィードバックあったらぜひご連絡ください！（実際に作れたか気になるとこ… https://t.co/0sh8txbNC8",21,6,28.5714285714286
938,9.79657871418782E+017,2018-03-30 09:53:32,すっごい当たり前の話なんですけど、人間って抽象的なものを理解するためには、たくさんの具体が必要なんです。なのに理系の人って、基本的に抽象論で話しやすいんですよ。だってそっちの方が例外がなく安全だし、美しいから。でもそれは学ぶ側にとっては困ると思うんですよね。,27,8,29.6296296296296
1082,9.76979843530113E+017,2018-03-23 00:32:00,さすがにリリース一日で1万ユーザーは想定していなかった https://t.co/aKTJVub4r7,57,17,29.8245614035088
235,9.89508438605484E+017,2018-04-26 14:16:10,消費する趣味を覚えてしまったら、永遠にお金は必要になるんだろうけど、趣味が音楽とプログラミングしかないからひたすら生産する趣味しかないので勝手に貯まる。お金が欲しい人は生産する趣味を覚えて消費を減らし、遊んだ結果お金を稼げるように… https://t.co/OZl2qhErzx,59,18,30.5084745762712
394,9.8781522916044E+017,2018-04-21 22:07:58,【ブログ更新】もし自分が大学生だったら、こういう風にプログラミングを学んでいくだろうな～という記事です。・大学生のころこそ、エンジニア力を付けておくべき理由・どうやったら新卒で市場価値の高いエンジニアになれるのかhttps://t.co/Nzj3PH8jO8,36,11,30.5555555555556
1030,9.77788745167421E+017,2018-03-25 06:06:17,技術的な情報はオープンにすべきだと思うけど、ちゃんとしたチュートリアル書くのって相当モチベーションないとできないのよね。大変だから。だからnoteでチュートリアルをマネタイズできる仕組み作ってくれたの、めっちゃくちゃありがたい。日… https://t.co/J94qIezBC9,152,47,30.9210526315789
956,9.79324367657059E+017,2018-03-29 11:48:18,労働ってなんだ。仕事終わった後にシコシコとスケベなネタ書いているだけで20万円入るのに、それの3倍以上の時間かけて正社員で働く意義ってなんだ。なんかわからなくなってきてしまった。働くってなんだ。 https://t.co/5jd1d5cHji,94,30,31.9148936170213
784,9.81895016690868E+017,2018-04-05 14:03:09,つまり、初心者だけどプロダクト作りたい人と、プロダクト作れて保守性の高いコード書きたい人の中間に、「アホみたいなコードでプロダクトつくれる人のコード」という、初心者にとっての理解できるレベルのチュートリアルが足りてない。,25,8,32
318,9.88808896436257E+017,2018-04-24 15:56:26,さっそく落ちたｗｗｗ画像アップロードの限界がきたっぽいｗｗｗいつもだｗｗｗｗ無料プランでリリースすると、容量限界きて「バグ」だのなんだの言われるのつらい.... https://t.co/eN1dwQtOT4,28,9,32.1428571428571
196,9.90024581543948E+017,2018-04-28 00:27:08,"現在の文字起こし君の状況・登録ユーザー数86122名・一日数千ユーザーが増加・リプライ成功数は1日600前後・1日のアップロード制限が1,250 MBなので、それ以上いくと動かなくなるという状況です。 https://t.co/oA383sKUWi",31,10,32.258064516129
1003,9.78275609779388E+017,2018-03-26 14:20:55,さっそくまた新しいチュートリアルを作っています。より社会にスケベサイエンティストが増えて、子どもがなりたい社会人像を増やしていきたいと思っています。絶対なりたい職業ランキング一位をYoutuberから塗り替えてやる！ https://t.co/cmzZkUWYMk,27,9,33.3333333333333
118,9.90606239284453E+017,2018-04-29 14:58:26,先端技術がかなり早いペースでジェネリック化する時代。ジェネリック化の比喩はとても分かりやすい。面白い。薬の開発そのものの価値はジェネリック化によってどんどん薄れてきてしまうからな。 https://t.co/Sm9Qm7o04l,20,7,35
414,9.87675041729933E+017,2018-04-21 12:50:54,お金に縛られない環境を作る努力をすると、結果として逆にお金が増えてきやすい環境になる。お金に縛られると、時間投資でその場しのぎし、人間はクリエイティブに時間を使えなる。時間で解決しようとすると絶対に赤くなる。若いうちで余裕があるときこそ二毛作でクリエイティブに時間を投資すべき。,110,40,36.3636363636364
1078,9.76989234778096E+017,2018-03-23 01:09:19,スケベ博士は復旧中なので、代わりに変態コンシェルジュをご利用ください。LineからDMMのサンプル動画が見れるセキュリティが強固なサービスとなっています。https://t.co/FK1DsxW78L https://t.co/40yra8vrGl,22,8,36.3636363636364
423,9.87596734716002E+017,2018-04-21 07:39:44,Aidemyめっちゃわかりやすい！ / 全ての社会人が「今すぐAIプログラミングを学ぶべき」と言える深い理由 (Business Insider Japan) #NewsPicks https://t.co/h91AmpA3OU,32,12,37.5
1010,9.78216195953386E+017,2018-03-26 10:24:50,5日間のスケベ基金と、2日間のスケベチュートリアルのおかげで、この勢いだと一般的な新卒の月収を超えてしまう。「スケベなことで生きていく」スケベサイエンティストが、子供のなりたい職業ランキング1位になるのもそう遠くない将来なのか… https://t.co/3wDt9kMn5k,50,19,38
670,9.83515324824699E+017,2018-04-10 01:21:40,僕がクラウドソーシングで受注するときに技術を学ぶ場合、まずクラウドソーシングで受注できそうなアプリの内容を調べて、それを実装するために必要そうな技術を調べ、実装してブログにアウトプットしてました。それをもとにお客さんに「これできますー」とURL共有すれば受注はできますね。,21,8,38.0952380952381
301,9.88961838145593E+017,2018-04-25 02:04:10,リリース初日で1万ユーザー突破。どこまで伸びるか！10万くらいいかないかなー。チュートリアル書いたら誰か有料化して、安定したサーバーでやってくれたら嬉しいなー。 https://t.co/ST8QnsEHlV,28,11,39.2857142857143
90,9.90801116483928E+017,2018-04-30 03:52:49,過去にQiitaでAV女優の身長・カップ数・3サイズデータを公開してたらスケベKaggleはじまっててワロタｗｗｗhttps://t.co/nEnGx3QVUP,20,8,40
978,9.78637474699227E+017,2018-03-27 14:18:50,これめっちゃいい。すっげぇ興奮する。中学生、高校生のころのこのころのエネルギーってマジでわくわくするよなぁ。https://t.co/3bgZikNNqz,70,29,41.4285714285714
635,9.83893001565962E+017,2018-04-11 02:22:26,「会社のことは好きだけど辞めます」という偽善感たっぷりの退職エントリが多い中、それをnoteで有料化して「すっごいざっくりいうと音楽性の違い。続きは本当に見たい人だけどうぞ」って形にしてて、課金の仕組みで「見るべき人を絞る」って使い方してる人いて、面白い。,38,16,42.1052631578947
311,9.88817212982022E+017,2018-04-24 16:29:29,「LINEじゃなくてもできる」っていう意見が多いのですが、最先端の技術は民主化されなければ利用されません。そこらへんのおじいちゃんや中学生連れてきてできるかって考えると、まだGoogle DocumentもOffice Lensで… https://t.co/Ke3wczWBEz,71,31,43.6619718309859
1062,9.77322699004391E+017,2018-03-23 23:14:23,前に落合陽一さんの本で、「魔術を一つも知らない(ブラックボックスの中身がわからない)人は、コンピューターの下請け、もしくはインターフェイスになる」とおっしゃっていたんだけど、今回インターフェイスのデザインって結構キモなんだと思った… https://t.co/Kp1wOvC4l6,73,34,46.5753424657534
475,9.86426391439618E+017,2018-04-18 02:09:13,科学も１つの信仰で、使ってる側はブラックボックスのまま利用している。これは落合さんが言ってた「魔術」と凄い似ている。AI論調も実はテクノロジーではなく魔術化なのかもしれない。 #完全教祖マニュアル https://t.co/WVUGtMgPk9,29,14,48.2758620689655
1079,9.76987772698247E+017,2018-03-23 01:03:31,スケベ博士が「金払わないともう仕事しない」とグレてしまったので、更生させるためにスケベ基金を始めました。本当にスケベでどうしようもない方、スケベ基金にご協力よろしくお願いします。https://t.co/UfZPRb8kf4,34,17,50
451,9.86926786159104E+017,2018-04-19 11:17:36,【100RTいったら作ります】PythonのWebフレームワークFlaskを利用した、ローカルで動くツイッター自動いいね+フォロワー分析アプリの作り方を、0から解説したいと思います。かなりの文量になりそうなので、需要があればや… https://t.co/HAifyky8AV,223,119,53.3632286995516
1212,9.74851099533324E+017,2018-03-17 03:33:08,人間は情報がリッチになるほど、情報に対する想像力がなくなるから刺激が少なくなる。最高の拡張現実は振動通知って話とても面白かった。AVより官能小説の方がエロいのとも似てる気がする。ドラクエのドット絵好きもそうだなぁ。,75,41,54.6666666666667
1106,9.76360062758175E+017,2018-03-21 07:29:13,画像のURLを入れると、それに似たAV女優の名前、合致度と、DMMの出演している動画リストが見れるページのリンクを返す、変態博士が完成したぞ。 https://t.co/gHUj6qH24P,29722,18311,61.6075634210349
1085,9.76827566001611E+017,2018-03-22 14:26:54,Qiitaに投稿しました。よければシェアしてくれると嬉しいです！AIで似ているAV女優を紹介しているスケベAI「スケベ博士」を作りました。https://t.co/LrJbN2c2x1,49,34,69.3877551020408
157,9.90406857989632E+017,2018-04-29 01:46:10,【100RTいったらやります】『技術チュートリアルのマーケティング論』書こうと思うのですが、需要ありますかね。先月26万、今月76万稼いでいるので再現性はあるかとは思います。エンジニアリング X マーケティングができると作って… https://t.co/zF72Ta9Tyo,137,110,80.2919708029197
1080,9.76983550745502E+017,2018-03-23 00:46:44,スケベ博士が既読無視してくるというご報告を各所からいただいたので、ログ解析したところ、結論としてスケベ博士がせこいことがわかったのでご共有いたします。【速報】スケベ博士が「金払わなきゃ動かないのじゃ」とグレました！https://t.co/8BHb2m5PKX,20,18,90
1086,9.76820622616494E+017,2018-03-22 13:59:19,AIで似ているAV女優を紹介しているスケベAI「スケベ博士」を作りました。 [Python] on @Qiita https://t.co/LrJbN2c2x1,20,18,90
