,id,created_at,text,fav,RT,rate
229,9.89539733414932E+017,2018-04-26 16:20:31,・技術チュートリアルがない・わかりやすくかつマーケしてチュートリアル書けるエンジニアが少ないから、参入しにくい・それをやるモチベーションは技術者にはないなのでブルーオーシャンなんだろうなぁ。#10年後の仕事図鑑 https://t.co/C1jCCnyaoV,33,3,9.09090909090909
757,9.82267530600317E+017,2018-04-06 14:43:23,突然ですけどリクルートスーツって最高ですよね。僕は中学生の頃に高校生の制服に目覚め、高校生の頃からリクスーが好きでした。やっぱりフォーマルの中のエロさって本当にありがたいというか。品とスケベの共存というか。春に感謝ですね。,33,3,9.09090909090909
12,9.91503163663401E+017,2018-05-02 02:22:30,文字おこし君、このままだとユーザー数が10万を超えてしまう......LINEのインターフェイスがすごいのは、Jacob Nielsenのヒューリスティックスから見たときに、・一貫性を保ち標準に倣う・最小限で、美しいデザイ… https://t.co/0RHNsOz0VP,22,2,9.09090909090909
260,9.89277854436225E+017,2018-04-25 22:59:55,毎回説明するのが面倒なのでまとめたhttps://t.co/FZBfcnUG5I,21,2,9.52380952380952
133,9.90518389494792E+017,2018-04-29 09:09:21,noteはフォロワーが少なかったり、自分のメディアを持っていないとチュートリアルを創っても広告が難しいです。そういう場合は、プロダクトの作成結果をQiitaやはてなブックマークに載せて、プレスリリースみたいに利用するのがおすすめで… https://t.co/WkG6XcYyUz,30,3,10
1257,9.73715061012246E+017,2018-03-14 00:18:55,「本名でスケベサイエンティストやるのやめなさい」 https://t.co/XllVXCU8Fv,20,2,10
737,9.8281944672818E+017,2018-04-08 03:16:30,上級者にとってはクソの吹き溜まりみたいな記事しか書けないけど、初心者にとっては誰よりも優しいコンテンツを作っていきたい。だって営業マンがPythonで定型業務の自動化処理したいみたいなときに、めっちゃくちゃ抽象度の高い記事であふ… https://t.co/MjlksV9Ann,30,3,10
53,9.91092939731301E+017,2018-04-30 23:12:25,めちゃめちゃイケてる中学生いたので2000円寄付しました。じじいぶっ殺していこう！@takagi_1129https://t.co/dxlvDjFimT https://t.co/KZlOTS86Tf,38,4,10.5263157894737
958,9.79279292239569E+017,2018-03-29 08:49:12,めっちゃいいアイディア思いついた。ツイッターで投稿すると、Google Calenderに反映できるアプリ。こうすると、過去にどんなこと考えていたのかを、時間レベルで思い出せる。これは結構自己分析的な意味でも面白いかもしれない。,28,3,10.7142857142857
747,9.82557239411003E+017,2018-04-07 09:54:35,プログラミング勉強して、他の人が知らないことをたくさん学んだ時、そこに知識の差分ができ、そこに価値が生まれる。それを初心者の視点で解説するというアプローチでnoteを使うと、それこそ大学生でも経済学めっちゃくちゃわかりやすくまとめるのとかでもマネタイズできるんだろうなぁ。,28,3,10.7142857142857
275,9.89251956324512E+017,2018-04-25 21:17:00,僕の書くコードは独学なのでおそろしく汚いですが、初心者にはなるべくわかりやすい形になっています。プロにとって可読性の高いコードと、初心者にとって可読性の高いコードは違うと思ってるので、これだけ読んでプロのエンジニアになりたい！って… https://t.co/mkLBUstuKl,28,3,10.7142857142857
1002,9.78417572621111E+017,2018-03-26 23:45:02,僕自身が独学でプログラミングしているから、そんなに技術的に詳しくないけど、逆に初心者の目線にはめっちゃくちゃ立てると思うので、だれが見てもできて面白いチュートリアル頑張って作ろう。,27,3,11.1111111111111
136,9.90495113947136E+017,2018-04-29 07:36:52,noteで有料化コンテンツを作る上で重要なのは、誰かが無料でソースコードを置いたものに差別化できるようにすること。そしてそれを差別化するためには・ユーザーの前提知識の想定・検索に依存せずとも完了できるぐらいの網羅性を上げる… https://t.co/sGK9JJxoHY,26,3,11.5384615384615
251,9.89443202921914E+017,2018-04-26 09:56:57,むかし@ha_chu さんが読者の対象を偏差値30に合わせろとおっしゃってましたが、記事のタイトルはAIみたいな偏差値30くらいのキーワードにしないとマスにはウケないです。過去に同じコンテンツをタイトルだけ変えて拡散スピード計測したことところシェア数が8倍になったことがあります。,43,5,11.6279069767442
830,9.81098293303304E+017,2018-04-03 09:17:15,クラウドソーシングとか、アフィリエイトとか、死ぬほど競合がいるレッドオーシャンよりも、クソほどくだらないこと、誰もやらないことでマネタイズしようとする方が楽しいし青いし面白いな。,25,3,12
303,9.8894989005398E+017,2018-04-25 01:16:42,もう少しで1万ユーザー！ https://t.co/jb9AopExMu,23,3,13.0434782608696
188,9.90082543578792E+017,2018-04-28 04:17:27,学校の教師のデータ全部スクレイピングして、保護者が先生の評価できるWebサイト作ったら市場原理働いてた面白そうだな,23,3,13.0434782608696
299,9.88968301530304E+017,2018-04-25 02:29:51,基本的にバズってるアプリは全部マッシュアップアプリなので、こういうの作ってみたい人はぜひ！https://t.co/zj3i6tbAfh,90,12,13.3333333333333
257,9.89332419428762E+017,2018-04-26 02:36:44,エンジニアからみたら「え、これがAI？バロスwww」て感じだけど、利用者からみたらごりごり社内でデータ環境整えて複雑な分析してようが、機械学習API使ってようが大差ないんだよなぁ。,67,9,13.4328358208955
31,9.91251710218723E+017,2018-05-01 09:43:18,日本人のほとんどが「自分のキャリアを線形で予測できる」という前提でキャリア論を話してるけど、それよりも不確実性の中で最適化する方がよっぽど大事だと思うなぁ。人生は線形予測できるものではなく、機械学習していくものなんじゃないかと思う。,89,12,13.4831460674157
1034,9.77758875653784E+017,2018-03-25 04:07:36,スケベAIのチュートリアルは、こんな感じです～PythonでAV女優のデータをスクレイピングし、Face APIで顔認識、Line Botの作成を一つのチュートリアルでまとめて解説しています！コードの解説とかつけています。… https://t.co/ULYSW7JS8o,22,3,13.6363636363636
543,9.85127516397437E+017,2018-04-14 12:07:57,これ、半端じゃなく可能性ある。noteはクリエイターが年齢とか仲介企業とか関係なく、ファンがついてくる人に高い報酬が得られる素晴らしい仕組み。本当に応援したい。 https://t.co/2rccs0eIj8,22,3,13.6363636363636
1024,9.77832449420902E+017,2018-03-25 08:59:57,下ネタはとても強力で、簡単にバズってしまうが、それ以外のことを言えなくなるととたんに威力が落ちてしまう。そして、それを使うことで社会的評価も下がる。あれだけ子供のころロックマンでダークチップ使っちゃいけないって習ったのに、僕は社会… https://t.co/I8yypUhxgd,22,3,13.6363636363636
10,9.91505648314606E+017,2018-05-02 02:32:22,世の中にはめっちゃくちゃいいアーティストが埋もれているのに、自分自身のことをマーケできないのって本当にもったいないと思う。個人が強い時代、マーケさえしっかりしていれば、信用経済だからやっていけるはずだし、そこをなんとかしたい。。。,22,3,13.6363636363636
135,9.90507875368714E+017,2018-04-29 08:27:34,noteで記事が売れるかは、日々のツイートで検証するとよいです。ツイートした内容のいいねが多かったり、RTが多いということはそれだけ情報に価値があるということの証明ですし、逆にツイートの内容がスルーされるようだったらnoteでも売れないです。スモールスタートで仮説検証しましょう。,58,8,13.7931034482759
327,9.88790562009436E+017,2018-04-24 14:43:35,技術は、難しいことを民主化するだけでだいぶ需要があるのに、なぜほとんどの人は難しいものを難しいままイキろうとするのかわけわからない。厳密性を求めている場合だったらしょうがないけど、読者の想定一切してない気がする。,35,5,14.2857142857143
626,9.8419400481946E+017,2018-04-11 22:18:30,自分でコンテンツ持つと、時給という概念がなくなる。確かに最初はまったくお金入らないけど、アウトプットし続けると信頼とコンテンツがストックして減らない資産になって回収できる。note売っててめっちゃ感じた。 https://t.co/SuF8nbsEen,20,3,15
802,9.81541693911581E+017,2018-04-04 14:39:10,いま作っている自動いいねツールでフォロワー数が一日で15人くらい増えた。統計情報まで取れるようにして、これをチュートリアルにしよう。たぶんアプリケーションにして販売してもいいんだけど、これくらいならさくっとFlaskで創れるのでチ… https://t.co/qLWvTLRt7q,26,4,15.3846153846154
278,9.89163379418808E+017,2018-04-25 15:25:02,1万リツイート超えると必ず1/10000くらいの確率で意味不明なリプライ飛ばしてくる方がいらっしゃる。この1/10000の法則、フォロワー多い人たぶん納得してくださる方多いと思う.... 1%の確率で性器出すドラえもんみたいな感覚。,32,5,15.625
153,9.90409271740318E+017,2018-04-29 01:55:45,世の中には創れる人がめっちゃくちゃいるのに、マージン取られすぎてて消耗しているのマジで社会構造歪んでる気がするんだよな。創れる人が売れるようになれば、その構造がぶっ壊れるので、クリエイターが個人で創って売れる世界を創れれば、本当に個人の世界にできそうなんだよなぁ,57,9,15.7894736842105
74,9.91055696698294E+017,2018-04-30 20:44:25,自分が何も実績出してない時から会ってくれている人、みなアウトプットしてたから会ってくれた。それが荒削りでお金にならないようなものでも、そのアウトプットに興味を持ってくれた。何も持ってない時はスキルの交換しようとせず、目の前のファンを喜ばすことが大事。,44,7,15.9090909090909
300,9.88968140921958E+017,2018-04-25 02:29:13,もう機械学習はWeb API使えば中身ブラックボックスでも十分使えます。Googleなどの膨大なデータをもとにかなり精度の良いもの提供してくれるので。意思決定のための分析レベルではまだ無理ですが、実装レベルではもう民主化されてますhttps://t.co/zj3i6tbAfh,69,11,15.9420289855072
247,9.89445953064063E+017,2018-04-26 10:07:52,で、これはエンジニアの技術記事特有なのですが、厳密なことの重要度が高いことが多く、そうすると狭いパイしか狙えないわけです。そうすると技術の民主化スピードはめっちゃくちゃ遅くなるので、カジュアルにコード書いてとりあえず動くってチュートリアルがあった方がいいと思うんです,31,5,16.1290322580645
256,9.89336040409219E+017,2018-04-26 02:51:07,「文系だからできない」なんてことはないですよ！よっぽど大規模な開発でなければ、プログラミングで数学関わるところはほとんどないので。適切な手順で、適切な学習で学べば、独学でも2年あれば文字起こし君くらいは簡単に作れます(ソースは僕)https://t.co/NyFC0h5JdK,68,11,16.1764705882353
454,9.86790612111311E+017,2018-04-19 02:16:30,ちょっとできる人がイキるのって実は大事なのかと思った。じゃないと中間層の知識が下に降りてこないから。そして少し先の世界を見てきた人が発信するコンテンツは実は価値があるものだということも気付いた。(Qiitaのトレンドとかだいたいそうな気がする),30,5,16.6666666666667
322,9.88798391801921E+017,2018-04-24 15:14:42,ちなみに今回実装したのは、Google Apps Scriptだけです。サーバレスの環境で作ってます。こんな簡単に作れるのに何でみんな作らないんだろうか不思議でたまらない。Web APIのマッシュアップアプリなんてHTTPの通信さ… https://t.co/WtUB3KBX9v,90,15,16.6666666666667
259,9.89281026055656E+017,2018-04-25 23:12:31,Google Apps Scriptでアプリ公開すると、リリース初日でアプリがパンクする芸だけど有料化すると採算が合わないので結局チュートリアルつくって使いたい人は自分で作ってくださいという形にしています。,24,4,16.6666666666667
448,9.8694463992288E+017,2018-04-19 12:28:33,noteで技術チュートリアルを作っている人をまとめてみました！ブロックチェーンから機械学習まで、なかなか情報としてないチュートリアルをまとめてくださっています～！おすすめです～！@karaage0703  @cohki0305 https://t.co/24ylwd7Ruw,47,8,17.0212765957447
49,9.91100754122293E+017,2018-04-30 23:43:28,ここ最近間違いなくきそうな流れとして、社会の評価指標が肩書　⇒　ソーシャル信頼度（収益/フォロワー数/PV数）に移っていくと思う。他人への価値提供という尺度がそっちのほうが透明性が高く、かつ証明しやすい。経験年数が価値を持たない社会はすぐ来るはず。,35,6,17.1428571428571
328,9.88789118598435E+017,2018-04-24 14:37:51,技術界隈で役に立つのって基礎研究やってる人と、その研究をもとにユーザーが使ってメリットが出るレベルに落とし込んで実装する人で、中途半端にロジック勉強して何も実装できないでイキッてるのは僕は嫌いです。僕は誰がなんと言おうがブラックボックスでもとりあえずいいから便利なものを作る派です,29,5,17.2413793103448
244,9.89451475972645E+017,2018-04-26 10:29:49,ちょっとしたアイディアも、作って(プログラミング)売れる(マーケティング)時代、さくっとプロトタイプ作れるのってめっちゃくちゃ大事なんですよね。例えば文字おこし君なんてものも、２日で30万円の売り上げがあるわけで。プログラミングはエンジニアだけのためにあるわけではないってことです,69,12,17.3913043478261
195,9.90054252977406E+017,2018-04-28 02:25:02,GWにやることがない人は、文字起こし君かスケベAIを作りましょう！！https://t.co/6OOmYh4hNG,23,4,17.3913043478261
